student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,grade_change,grade_improved
52,Female,1.4,100.0,7.8,High School,No,No,No,72.9,81.8,B,8.9,True
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C,5.8,True
54,Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3,B,33.8,True
55,Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8,A,10.7,True
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,13.1,True
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C,-15.7,False
58,Male,3.4,72.0,7.6,Bachelors,Yes,No,No,66.9,84.3,B,17.4,True
59,Male,1.5,89.0,6.2,Masters,Yes,No,No,59.4,74.5,C,15.1,True
60,Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5,B,16.3,True
61,Male,4.0,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4,B,13.0,True
62,Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1,C,15.2,True
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B,0.2,True
64,Male,1.9,85.2,6.0,,Yes,No,No,62.5,73.0,C,10.5,True
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,32.9,True
66,Female,4.9,100.0,5.8,Bachelors,Yes,No,No,85.9,97.4,A,11.5,True
67,Female,2.0,87.4,6.7,High School,Yes,Yes,No,63.9,67.8,D,3.9,True
68,Male,4.3,100.0,5.9,Bachelors,No,Yes,No,62.7,79.2,C,16.5,True
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C,24.7,True
70,Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1,B,-5.8,False
71,Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6,C,25.1,True
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C,6.7,True
73,Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81.0,94.6,A,13.6,True
74,Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6,C,2.5,True
75,Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9,A,30.6,True
76,Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4,D,14.8,True
77,Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C,11.6,True
78,Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C,7.0,True
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C,14.3,True
80,Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4,B,15.0,True
81,Male,4.4,100.0,5.9,High School,Yes,No,No,78.2,97.6,A,19.4,True
82,Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6,74.5,C,-7.1,False
83,Male,2.7,73.0,7.6,High School,Yes,No,Yes,55.3,64.1,D,8.8,True
84,Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4,90.0,A,-6.4,False
85,Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3,A,20.1,True
86,Male,0.5,78.9,9.6,Bachelors,Yes,Yes,Yes,70.0,63.9,D,-6.1,False
87,Female,1.2,83.7,5.9,Bachelors,Yes,No,No,83.1,79.0,C,-4.1,False
88,Male,5.6,85.1,5.1,Masters,Yes,No,No,98.4,100.0,A,1.6,True
89,Female,6.0,77.2,7.2,High School,Yes,No,No,52.7,78.9,C,26.2,True
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B,17.2,True
91,Female,4.4,83.8,6.5,High School,Yes,No,No,41.5,71.7,C,30.2,True
92,Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3,B,14.0,True
93,Female,8.1,76.1,5.2,Bachelors,Yes,Yes,No,74.4,98.3,A,23.9,True
94,Female,5.2,80.6,7.6,Bachelors,Yes,Yes,No,69.5,88.1,B,18.6,True
95,Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1,99.6,A,37.5,True
96,Female,2.1,81.3,8.9,Bachelors,Yes,No,No,45.4,74.8,C,29.4,True
97,Female,1.1,100.0,9.2,,Yes,No,Yes,74.5,87.4,B,12.9,True
98,Female,3.8,81.0,5.9,High School,No,No,No,87.5,88.5,B,1.0,True
99,Female,2.4,87.2,6.1,High School,Yes,Yes,Yes,62.9,65.2,D,2.3,True
100,Male,1.4,94.3,7.8,High School,No,No,No,75.3,79.2,C,3.9,True
101,Male,2.5,70.8,6.3,High School,Yes,Yes,No,51.2,74.5,C,23.3,True
102,Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5,66.3,D,-9.2,False
103,Female,6.0,69.7,6.8,Bachelors,No,No,No,65.3,89.5,B,24.2,True
104,Female,4.8,97.6,4.5,High School,Yes,No,No,60.9,92.7,A,31.8,True
105,Female,3.5,79.5,6.8,,Yes,No,Yes,60.9,87.2,B,26.3,True
106,Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3,92.5,A,27.2,True
107,Female,3.6,79.4,6.2,High School,Yes,Yes,Yes,74.6,75.7,C,1.1,True
108,Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3,74.0,C,19.7,True
109,Female,5.8,100.0,5.3,High School,Yes,Yes,No,65.2,100.0,A,34.8,True
110,Male,4.3,100.0,7.8,High School,No,No,Yes,69.5,75.5,C,6.0,True
111,Female,1.9,100.0,6.5,High School,Yes,No,Yes,56.8,61.7,D,4.9,True
112,Male,3.2,97.1,6.5,Bachelors,No,No,No,91.6,91.4,A,-0.2,False
113,Female,2.2,95.2,7.7,High School,No,Yes,No,59.8,72.7,C,12.9,True
114,Female,1.4,90.9,7.2,Bachelors,Yes,No,No,62.0,74.6,C,12.6,True
115,Male,4.9,92.8,7.5,,Yes,Yes,No,58.3,96.5,A,38.2,True
116,Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6,94.5,A,2.9,True
117,Male,1.4,76.8,6.4,,No,Yes,No,76.6,59.3,F,-17.3,False
118,Female,4.3,85.0,6.1,High School,Yes,Yes,No,58.8,96.2,A,37.4,True
119,Female,2.5,83.3,5.5,Bachelors,Yes,Yes,Yes,83.3,75.3,C,-8.0,False
120,Male,2.8,80.5,5.8,Bachelors,Yes,No,No,72.4,73.3,C,0.9,True
121,Female,2.6,92.0,10.0,High School,Yes,Yes,No,73.1,95.8,A,22.7,True
122,Male,2.2,94.6,8.3,High School,Yes,Yes,No,65.9,81.0,B,15.1,True
123,Female,3.6,85.9,5.2,Masters,Yes,No,Yes,61.0,76.5,C,15.5,True
124,Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1,88.1,B,14.0,True
125,Male,3.9,73.6,7.4,Bachelors,Yes,Yes,No,63.5,88.1,B,24.6,True
126,Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8,92.1,A,0.3,True
127,Female,3.1,77.8,7.5,Bachelors,Yes,Yes,No,54.8,85.2,B,30.4,True
128,Male,2.1,66.3,6.5,High School,Yes,No,Yes,88.4,63.0,D,-25.4,False
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1,B,12.4,True
130,Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6,87.1,B,13.5,True
131,Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0,100.0,A,20.0,True
132,Male,2.0,91.3,4.1,,Yes,Yes,No,62.4,75.7,C,13.3,True
133,Male,3.6,74.8,6.5,Bachelors,No,Yes,No,80.4,77.3,C,-3.1,False
134,Male,4.6,100.0,5.8,Masters,Yes,Yes,No,37.5,85.6,B,48.1,True
135,Male,1.0,97.2,7.0,High School,Yes,Yes,No,61.4,80.8,B,19.4,True
136,Male,4.3,90.8,10.0,Bachelors,Yes,Yes,No,58.9,94.5,A,35.6,True
137,Male,2.5,82.7,7.2,High School,No,No,Yes,55.0,59.7,F,4.7,True
138,Male,4.4,75.4,6.4,High School,Yes,No,No,67.4,80.9,B,13.5,True
139,Male,2.4,81.3,7.9,High School,Yes,Yes,No,74.6,82.6,B,8.0,True
140,Male,0.8,95.9,7.4,Masters,Yes,No,No,78.4,80.2,B,1.8,True
141,Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9,82.4,B,9.5,True
142,Male,3.6,100.0,7.5,Bachelors,Yes,No,No,62.0,75.9,C,13.9,True
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B,14.1,True
144,Female,2.1,73.8,5.4,,Yes,Yes,Yes,71.5,69.6,D,-1.9,False
145,Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2,86.8,B,5.6,True
146,Male,1.0,67.3,5.7,High School,Yes,No,No,79.3,65.2,D,-14.1,False
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82.0,B,11.6,True
148,Male,1.7,83.5,5.7,Masters,Yes,Yes,Yes,59.2,46.8,F,-12.4,False
149,Male,2.5,80.3,6.3,,Yes,Yes,Yes,62.2,68.6,D,6.4,True
150,Female,3.6,69.1,6.4,High School,Yes,Yes,Yes,63.4,69.2,D,5.8,True
151,Male,2.2,90.1,8.0,PhD,Yes,Yes,No,66.2,84.7,B,18.5,True
152,Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2,75.9,C,2.7,True
153,Male,5.0,73.3,5.3,High School,Yes,No,Yes,78.6,84.7,B,6.1,True
154,Male,2.6,56.3,6.9,Bachelors,No,Yes,No,69.4,75.7,C,6.3,True
155,Male,4.8,84.7,5.9,Bachelors,Yes,No,No,70.2,95.4,A,25.2,True
156,Female,1.8,100.0,5.3,,Yes,Yes,No,71.7,87.6,B,15.9,True
157,Male,4.3,100.0,6.5,High School,Yes,No,No,63.8,87.7,B,23.9,True
158,Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9,89.3,B,30.4,True
159,Male,0.5,79.0,9.7,High School,Yes,Yes,No,48.9,63.7,D,14.8,True
160,Female,2.3,89.7,7.3,Masters,Yes,No,Yes,61.7,74.0,C,12.3,True
161,Male,4.4,75.0,5.1,Bachelors,Yes,No,No,75.7,87.9,B,12.2,True
162,Male,3.2,88.0,6.1,Bachelors,Yes,No,No,61.6,76.6,C,15.0,True
163,Female,4.1,92.7,8.0,Masters,Yes,Yes,Yes,67.1,97.3,A,30.2,True
164,Female,2.6,97.3,9.3,Masters,Yes,Yes,No,75.6,90.2,A,14.6,True
165,Female,3.6,84.0,4.9,PhD,Yes,No,No,76.2,88.7,B,12.5,True
166,Male,3.3,83.0,4.5,High School,Yes,Yes,No,57.0,84.8,B,27.8,True
167,Female,5.3,76.2,9.0,Masters,Yes,No,No,82.0,100.0,A,18.0,True
168,Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5,82.1,B,-1.4,False
169,Male,4.0,82.7,5.8,Bachelors,No,Yes,Yes,56.4,75.1,C,18.7,True
170,Female,2.9,88.7,7.4,Bachelors,No,Yes,Yes,60.1,78.1,C,18.0,True
171,Female,2.8,94.1,3.6,Bachelors,Yes,Yes,No,84.3,92.9,A,8.6,True
172,Male,2.9,77.0,6.8,Bachelors,Yes,No,No,68.2,71.8,C,3.6,True
173,Male,4.1,99.9,7.2,,Yes,No,No,43.4,78.5,C,35.1,True
174,Female,2.9,82.3,7.9,High School,Yes,Yes,No,53.2,82.6,B,29.4,True
175,Female,3.9,84.8,5.6,Masters,Yes,No,No,67.0,79.2,C,12.2,True
176,Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56.0,89.7,B,33.7,True
177,Male,4.8,60.8,5.7,High School,Yes,Yes,No,65.0,89.2,B,24.2,True
178,Male,3.0,93.8,7.1,High School,No,Yes,No,70.4,81.7,B,11.3,True
179,Male,5.3,92.4,5.7,,Yes,No,No,87.5,96.7,A,9.2,True
180,Male,2.9,82.2,6.3,PhD,Yes,No,No,66.5,73.7,C,7.2,True
181,Male,0.5,85.7,5.6,,Yes,No,No,82.9,77.1,C,-5.8,False
182,Male,2.0,90.2,7.6,,Yes,No,Yes,87.1,76.5,C,-10.6,False
183,Female,0.7,69.4,7.8,High School,Yes,No,No,87.2,73.2,C,-14.0,False
184,Male,3.0,79.7,6.5,Bachelors,Yes,No,No,73.4,83.6,B,10.2,True
185,Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4,85.8,B,39.4,True
186,Male,6.0,72.5,5.1,Bachelors,Yes,No,No,75.5,95.7,A,20.2,True
187,Female,4.0,87.9,6.4,Bachelors,Yes,Yes,No,82.6,89.2,B,6.6,True
188,Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69.0,83.1,B,14.1,True
189,Male,4.7,89.7,9.9,Bachelors,Yes,Yes,No,90.9,100.0,A,9.1,True
190,Female,0.5,84.6,5.5,Bachelors,Yes,Yes,No,80.3,67.2,D,-13.1,False
191,Male,3.9,68.8,8.6,High School,Yes,No,No,76.8,84.6,B,7.8,True
192,Male,4.7,96.6,8.0,Bachelors,Yes,Yes,Yes,83.0,100.0,A,17.0,True
193,Male,1.3,77.7,7.1,Bachelors,Yes,No,No,74.0,75.2,C,1.2,True
194,Male,5.2,76.9,8.9,Bachelors,Yes,Yes,No,40.1,81.1,B,41.0,True
195,Male,4.0,87.0,7.2,High School,Yes,Yes,No,64.0,96.5,A,32.5,True
196,Female,2.9,96.5,7.3,Masters,No,Yes,No,84.4,79.8,C,-4.6,False
197,Female,4.4,74.8,6.7,High School,Yes,No,No,60.3,73.4,C,13.1,True
198,Female,6.9,85.6,8.3,Bachelors,Yes,Yes,No,67.3,92.2,A,24.9,True
199,Male,3.8,89.3,8.1,Masters,Yes,Yes,No,57.5,87.3,B,29.8,True
200,Male,3.9,91.9,6.0,Bachelors,No,No,No,91.4,92.5,A,1.1,True
201,Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2,94.6,A,4.4,True
202,Female,2.2,81.3,6.6,Masters,Yes,Yes,No,59.4,75.5,C,16.1,True
203,Male,4.7,76.7,5.8,Bachelors,Yes,Yes,No,71.8,85.3,B,13.5,True
204,Male,2.2,85.9,6.7,Masters,Yes,Yes,No,61.8,76.7,C,14.9,True
205,Female,3.6,74.3,8.3,Masters,Yes,No,No,77.4,86.8,B,9.4,True
206,Male,2.8,55.8,6.3,Bachelors,Yes,Yes,Yes,76.1,61.1,D,-15.0,False
207,Female,4.2,89.4,6.7,Bachelors,Yes,Yes,Yes,79.7,100.0,A,20.3,True
208,Female,4.0,94.0,6.9,High School,No,Yes,No,74.0,90.9,A,16.9,True
209,Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100.0,96.1,A,-3.9,False
210,Male,2.7,74.9,4.1,Bachelors,Yes,No,No,57.7,73.1,C,15.4,True
211,Male,3.1,91.2,6.1,Bachelors,Yes,Yes,No,49.5,81.2,B,31.7,True
212,Male,2.0,100.0,7.1,Bachelors,Yes,Yes,No,65.3,81.8,B,16.5,True
213,Male,2.8,85.2,8.2,High School,Yes,Yes,Yes,51.2,70.0,C,18.8,True
214,Male,4.1,77.7,6.2,High School,Yes,Yes,Yes,52.1,78.5,C,26.4,True
215,Male,4.6,83.2,4.5,Bachelors,Yes,Yes,No,58.0,84.7,B,26.7,True
216,Male,2.1,98.7,7.5,High School,Yes,No,No,58.9,74.7,C,15.8,True
217,Female,4.8,78.5,6.0,Masters,Yes,No,No,58.5,91.2,A,32.7,True
218,Male,5.5,77.0,5.4,High School,Yes,No,No,76.2,93.4,A,17.2,True
219,Female,4.1,80.2,6.1,Bachelors,Yes,No,No,63.9,86.8,B,22.9,True
220,Male,6.3,75.5,6.6,,Yes,No,No,67.8,100.0,A,32.2,True
221,Male,2.3,86.2,6.1,High School,Yes,Yes,No,80.7,84.3,B,3.6,True
222,Male,1.6,100.0,4.2,Bachelors,No,No,No,60.8,71.5,C,10.7,True
223,Female,0.8,88.2,7.9,High School,No,No,Yes,66.8,70.5,C,3.7,True
224,Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4,89.9,B,15.5,True
225,Female,4.5,82.1,7.6,Bachelors,Yes,Yes,No,46.7,81.1,B,34.4,True
226,Female,3.4,69.4,5.4,Bachelors,Yes,Yes,No,41.4,67.4,D,26.0,True
227,Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2,82.2,B,8.0,True
228,Female,1.8,84.2,6.8,PhD,Yes,No,Yes,75.9,90.0,A,14.1,True
229,Male,7.2,83.2,7.5,High School,Yes,No,No,94.8,100.0,A,5.2,True
230,Male,3.7,100.0,7.6,High School,Yes,Yes,Yes,71.9,82.7,B,10.8,True
231,Female,3.7,88.0,5.9,PhD,Yes,Yes,No,79.8,98.3,A,18.5,True
232,Female,4.6,77.5,6.9,Bachelors,Yes,Yes,No,67.7,91.5,A,23.8,True
233,Female,4.2,80.7,7.3,PhD,Yes,No,No,73.6,82.2,B,8.6,True
234,Female,3.8,96.5,8.5,Bachelors,Yes,Yes,No,90.0,100.0,A,10.0,True
235,Female,2.3,86.1,7.6,Masters,Yes,Yes,No,44.5,80.2,B,35.7,True
236,Female,4.2,70.6,7.7,Bachelors,Yes,No,No,75.0,85.7,B,10.7,True
237,Female,6.3,94.2,6.9,Masters,Yes,Yes,No,95.6,100.0,A,4.4,True
238,Female,5.5,78.3,8.5,,Yes,No,No,73.4,84.4,B,11.0,True
239,Male,5.9,100.0,7.3,Bachelors,Yes,Yes,No,89.8,100.0,A,10.2,True
240,Female,2.7,95.8,5.8,High School,Yes,No,Yes,62.4,84.6,B,22.2,True
241,Female,2.0,80.5,8.5,High School,Yes,No,Yes,69.6,80.6,B,11.0,True
242,Male,3.3,97.8,7.6,High School,Yes,No,Yes,70.4,85.1,B,14.7,True
243,Female,3.6,85.7,6.3,High School,Yes,No,Yes,43.4,69.4,D,26.0,True
244,Male,5.1,93.5,6.2,High School,Yes,Yes,No,56.0,92.2,A,36.2,True
245,Male,1.0,89.8,7.2,Bachelors,Yes,Yes,No,56.8,76.2,C,19.4,True
246,Female,5.8,76.5,7.4,Bachelors,Yes,Yes,No,79.9,100.0,A,20.1,True
247,Male,3.3,78.6,7.0,Bachelors,Yes,No,No,80.5,92.2,A,11.7,True
248,Male,2.9,95.3,7.2,Bachelors,No,No,No,73.9,76.5,C,2.6,True
249,Male,2.0,81.7,8.8,High School,Yes,Yes,No,79.9,82.7,B,2.8,True
250,Male,1.0,81.0,8.1,High School,Yes,No,No,68.0,67.1,D,-0.9,False
251,Female,4.7,75.4,7.0,High School,Yes,Yes,Yes,84.4,88.4,B,4.0,True
252,Male,3.6,89.2,7.9,Bachelors,Yes,No,Yes,70.1,91.0,A,20.9,True
253,Female,1.6,100.0,5.6,High School,No,No,No,70.7,75.8,C,5.1,True
254,Male,1.6,74.3,7.3,High School,Yes,Yes,No,66.8,88.3,B,21.5,True
255,Male,3.0,85.2,9.0,Bachelors,Yes,Yes,Yes,78.2,87.6,B,9.4,True
256,Male,6.0,99.1,6.5,Masters,Yes,Yes,Yes,64.9,96.8,A,31.9,True
257,Male,3.1,84.2,5.8,High School,Yes,No,No,81.7,86.7,B,5.0,True
258,Female,1.2,89.5,6.0,Bachelors,Yes,Yes,Yes,56.4,63.7,D,7.3,True
259,Female,3.1,74.4,5.5,Masters,Yes,Yes,No,56.8,73.0,C,16.2,True
260,Male,3.1,89.3,5.9,Masters,Yes,Yes,No,78.2,94.3,A,16.1,True
261,Male,0.5,83.1,6.4,,Yes,Yes,No,68.9,71.3,C,2.4,True
262,Female,3.4,94.9,5.1,High School,Yes,Yes,No,64.6,79.7,C,15.1,True
263,Male,3.2,96.9,6.8,High School,No,No,No,80.7,81.2,B,0.5,True
264,Male,4.5,100.0,7.9,PhD,Yes,Yes,No,62.7,91.1,A,28.4,True
265,Male,6.3,90.8,5.7,Bachelors,Yes,No,No,67.6,97.5,A,29.9,True
266,Female,5.2,88.3,8.6,Bachelors,Yes,No,No,86.8,100.0,A,13.2,True
267,Female,3.1,86.9,7.4,Masters,Yes,Yes,Yes,88.5,81.6,B,-6.9,False
268,Female,1.8,81.5,8.0,Masters,Yes,Yes,No,88.9,83.9,B,-5.0,False
269,Male,7.4,88.4,6.0,,Yes,No,No,66.6,100.0,A,33.4,True
270,Male,3.6,82.0,7.8,,Yes,No,No,84.8,80.2,B,-4.6,False
271,Female,3.5,86.7,5.5,Masters,Yes,Yes,No,58.6,75.1,C,16.5,True
272,Female,3.5,98.2,7.9,High School,No,Yes,No,59.1,78.2,C,19.1,True
273,Female,3.8,74.9,7.0,PhD,Yes,Yes,Yes,41.8,64.7,D,22.9,True
274,Female,3.3,96.4,7.5,High School,Yes,No,No,90.1,97.8,A,7.7,True
275,Male,2.6,98.2,5.4,High School,No,Yes,No,59.6,74.4,C,14.8,True
276,Female,2.7,83.8,5.7,PhD,Yes,Yes,No,68.5,76.4,C,7.9,True
277,Male,3.5,63.8,7.5,High School,Yes,No,No,59.1,76.3,C,17.2,True
278,Female,2.7,78.9,5.7,High School,Yes,No,Yes,78.3,88.3,B,10.0,True
279,Male,2.4,98.0,7.4,High School,Yes,Yes,No,65.5,94.0,A,28.5,True
280,Female,3.7,84.8,5.2,PhD,No,Yes,Yes,54.3,58.8,F,4.5,True
281,Female,3.1,75.0,7.8,Bachelors,No,No,No,75.3,81.1,B,5.8,True
282,Female,5.8,80.0,5.3,Masters,Yes,Yes,No,52.8,84.5,B,31.7,True
283,Female,0.5,93.4,7.5,High School,Yes,Yes,Yes,60.0,69.9,D,9.9,True
284,Male,5.1,90.5,7.6,Masters,Yes,No,No,44.7,82.2,B,37.5,True
285,Female,5.4,82.6,6.0,Masters,Yes,Yes,Yes,52.9,83.3,B,30.4,True
286,Male,0.5,81.3,7.5,High School,Yes,No,Yes,72.1,69.5,D,-2.6,False
287,Male,3.0,81.1,7.1,Bachelors,Yes,No,No,46.4,68.5,D,22.1,True
288,Male,2.9,75.8,6.2,High School,No,Yes,No,52.2,61.5,D,9.3,True
289,Male,1.4,100.0,5.6,,No,Yes,No,70.0,72.3,C,2.3,True
290,Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5,74.1,C,10.6,True
291,Male,1.8,97.2,7.2,,Yes,No,No,93.9,94.9,A,1.0,True
292,Male,6.1,100.0,4.9,High School,Yes,No,No,92.0,100.0,A,8.0,True
293,Male,4.9,95.0,6.9,Masters,Yes,No,Yes,59.6,84.5,B,24.9,True
294,Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7,93.7,A,17.0,True
295,Female,4.6,89.0,7.6,Masters,Yes,No,No,79.0,100.0,A,21.0,True
296,Female,1.8,84.8,6.4,,Yes,Yes,No,62.8,81.6,B,18.8,True
